dosage,comparison,diff,lwr.ci,upr.ci,pval,significance
RBD4059-1 mg/kg,2-1,-0.1438962385651823,-0.3351297997139485,0.04733732258358392,0.21700301374531517,ns
RBD4059-1 mg/kg,8-1,-0.0012885328933448514,-0.19252209404211107,0.18994502825542137,0.9999999999999838,ns
RBD4059-1 mg/kg,15-1,0.039495734516186376,-0.15173782663257984,0.2307292956649526,0.9945711185372647,ns
RBD4059-1 mg/kg,29-1,0.06684721182413078,-0.12438634932463544,0.258080772972897,0.8997639066611594,ns
RBD4059-1 mg/kg,43-1,-0.049881237075187324,-0.24111479822395354,0.1413523240735789,0.9775300828765846,ns
RBD4059-1 mg/kg,57-1,-0.012238138766448858,-0.20347169991521508,0.17899542238231736,0.9999990167215624,ns
RBD4059-1 mg/kg,71-1,0.027479306028668438,-0.16375425512009778,0.21871286717743466,0.9995463080077267,ns
RBD4059-1 mg/kg,85-1,-0.035571987079370815,-0.22680554822813703,0.1556615740693954,0.9972688188319564,ns
RBD4059-3 mg/kg,2-1,-0.07793736230875348,-0.2064770666169038,0.05060234199939684,0.4297832013660442,ns
RBD4059-3 mg/kg,8-1,0.07044595400078113,-0.058093750307369185,0.19898565830893145,0.5389665052846033,ns
RBD4059-3 mg/kg,15-1,0.17413254296913716,0.045592838660986845,0.3026722472772875,0.0036601371259679105,**
RBD4059-3 mg/kg,29-1,0.27226803370566666,0.14372832939751634,0.40080773801381697,3.637024661995447e-6,****
RBD4059-3 mg/kg,43-1,0.1888392866925026,0.06029958238435229,0.3173789910006529,0.0013514448791104305,**
RBD4059-3 mg/kg,57-1,0.11639847628628464,-0.01214122802186568,0.24493818059443495,0.0911321020323701,ns
RBD4059-3 mg/kg,71-1,0.11969172814565554,-0.008847976162494775,0.24823143245380586,0.07777058996060693,ns
RBD4059-3 mg/kg,85-1,0.0865371863219786,-0.04200251798617172,0.21507689063012891,0.3201523297453054,ns
RBD4059-9 mg/kg,2-1,-0.04529261597468792,-0.22887170771918133,0.1382864757698055,0.9894662202947606,ns
RBD4059-9 mg/kg,8-1,0.07539100625180417,-0.10818808549268924,0.25897009799629755,0.8325674843890971,ns
RBD4059-9 mg/kg,15-1,0.2834644323428839,0.09988534059839047,0.46704352408737726,6.962671396768538e-4,***
RBD4059-9 mg/kg,29-1,0.34337034127885135,0.15083096551818662,0.5359097170395161,6.891027997757426e-5,****
RBD4059-9 mg/kg,43-1,0.2849774972384944,0.09243812147782968,0.4775168729991591,0.0011725755369632607,**
RBD4059-9 mg/kg,57-1,0.27564730086883493,0.0831079251081702,0.46818667662949964,0.0017825446510180143,**
RBD4059-9 mg/kg,71-1,0.2991659874397874,0.10662661167912266,0.4917053632004521,6.061672474428903e-4,***
RBD4059-9 mg/kg,85-1,0.18612973972469482,-0.006409636035969918,0.37866911548535953,0.062396353579792896,ns
RBD4059-9 mg/kg,113-1,0.008216545349838844,-0.1843228304108259,0.20075592111050358,0.9999999947049628,ns
